AAB	ABELAG AVIATION
BEM	SERVICIO AUTONOMO DE LA FUERZA AEREA VENEZOLANA (SAFAV)
BEN	SCHWEITZER ENGINEERING LABORATORIES, INC.
BER	FLY AIR41 AIRWAYS D.O.O.
BES	BEES AIRLINES
BET	BETA - BRAZILIAN EXPRESS TRANSPORTES AEREOS LTDA
BEU	BATELEUR AIR CHARTER SERVICES CC
BEV	BELLAVIA LTD
BEX	BUSINESS-EXPRESS - MAGNA AIR LUFTFAHRTGESELLSCHAFT M.B.H.
BEY	BESTFLY, S.L.
BEZ	KINGFISHER AIR SERVICES (SAN JUAN, PR)
BFC	BASLER FLIGHT SERVICE, INC. (OSHKOSH, WI)
BFD	BERTELSMANN AG, GUETERSLOH
BFF	AIR NUNAVUT
BFG	BRIGHT FLIGHT LTD.
BFK	INNER MONGOLIA NORTHERN EXPRESS GENERAL AVIATION CO., LTD
BFL	BUFFALO AIRWAYS LTD.
BFM	BEIJING PANAM INTERNATIONAL AVIATION ACADEMY CO., LTD
BFO	BAKHTAR AFGHAN AIRLINES
BFR	BURKINA AIRLINES
BFS	BAA TRAINING
BFT	BORDER AIR TRAINING
BFW	VIP AIR TRANSPORT
BFX	FLY AWAY GMBH & CO. KG
BFY	BESTFLY AIRCRAFT MANAGEMENT ARUBA
BGA	AIRBUS TRANSPORT INTERNATIONAL (ATI)
BGB	BIG BEND COMMUNITY COLLEGE
BGC	GOOD JET CO., LTD
BGD	AIR BANGLADESH (PVT) LIMITED
BGE	AEROBRIDGE
BGF	SPECIAL PURPOSE AVIATION OPERATOR-SAO
BGG	AERO BG, S.A. DE C.V.
BGH	BH AIR
BGI	BRITISH GULF INTERNATIONAL CO. LTD
BGL	BINANI GLOBAL AIR SERVICES LIMITED
BGM	AK BARS AERO
BGN	AIR INTER TRANSPORT CO., LTD
BGR	BRIDGER AEROSPACE
BGS	SUN AIR BULGARIA
BGT	BERGEN AIR TRANSPORT
BGY	BINGO AIRWAYS SP. Z.O.O.
BHA	BUDDHA AIR PVT. LTD
BHC	AEROTAXIS DE LA BAHIA, S.A. DE C.V.
BHD	BANGKOK HELICOPTER SERVICES CO.,LTD
BHI	BALKH AIRLINES
BHK	BLU HALKIN LTD
BHL	BRISTOW HELICOPTERS GROUP LTD.
BHM	BULGARIA HELI MED SERVICE EAD
BHN	BRISTOW HELICOPTERS (NIG) LIMITED
BHO	BHOJA AIRLINES
BHP	BELAIR AIRLINES AG
BHR	BIGHORN AIRWAYS, INC. (SHERIDAN, WY)
BHS	BAHAMAS AIR HOLDINGS LTD.
BHY	BOSPHORUS AVRUPA HAVA YOLLARI A.S. (BOSPHORUS EUROPEAN AIRWAYS)
BHZ	BHS AVIATION AG
BIA	BOHLKE INTERNATIONAL AIRWAYS
BIC	ALPHALAND AVIATION, INC.
BID	BINAIR GMBH, MUENCHEN
BIE	AIR MEDITERRANEE
BIG	BIG ISLAND AIR, INC. (KAILUA - KONA, HI)
BIH	BRITISH INTERNATIONAL
BIK	AVIO BRAVO
BIL	BILLUND AIR CENTER A/S
BIN	BOISE INTERAGENCY FIRE CENTER (BOISE, ID)
BIO	BIOFLIGHT A/S
BIR	BIRD LEASING, INC. (NORTH ANDOVER, MA)
BIS	SKY BISHKEK
BIT	NORTHEAST AVIATION, INC. (LANSING, IL)
BIV	AVIASERVICE
BIX	BRAATHENS INTERNATIONAL AIRWAYS AB
BIZ	BIZJET DE MEXICO, S.A. DE C.V.
BJA	BAJA AIR, S.A. DE C.V.
BJC	BALTIC JET AIRCOMPANY
BJF	BAJA FLY S. DE R.L. DE C.V.
BJK	ATLANTIC AIRLINES (ORLANDO, FL)
BJN	BEIJING AIRLINES CO., LTD
BJQ	BLUE JET AIRWAYS KG
BJS	BUSINESS JET SOLUTIONS (DALLAS, TX)
BJT	ACM AVIATION, INC. (SAN JOSE, CA)
BJU	AEROJET AIRLINES
BJV	BEIJING VISTAJET AVIATION CO., LTD
BJX	BLUE JET AIRWAYS LIMITED
BKA	BANKAIR, INC. (WEST COLUMBIA, SC)
BKB	STATE OF WEST VIRGINIA, AVIATION DIVISION (CHARLESTON, WV)
BKE	AIRBROCK MANAGEMENT & CHARTER SERVICES, INC.
BKF	BF-LENTO OY
BKH	BARKSTON HEATH FTU (MIL)
BKJ	BARKEN INTERNATIONAL, INC. (SALT LAKE CITY, UT)
BKK	BLINK LTD
BKL	AIRCOMPANY BARCOL
BKM	ADVISORS AVIATION (ST.LOUIS,MO)
BKN	SAINT LOUIS UNIVERSITY
BKO	BRIKO AIR SERVICE LTD
BKP	BANGKOK AIRWAYS
BKR	CIVIL AIR PATROL, SOUTH CAROLINA WING (COLUMBIA, SC)
BKS	ATLANTIC COAST AIRCRAFT SERVICES (READING, PA)
BKT	TAB CHARTERS (PTY) LTD
BKV	BUKOVYNA
BKY	BLUESKY AIRWAYS
BLA	BLUE AIR AVIATION S.A.
BLB	BLUE BIRD AVIATION CO. LTD
BLC	BELLESAVIA
BLD	BOURNEMOUTH COMMERCIAL FLIGHT TRAINING CENTRE
BLE	EXECUTIVE AIR SERVICES, LLC (MIAMI, FL)
BLF	BLUE1 OY, FINLAND
BLG	BELGAVIA (SOCIETE DE HANDLING)
BLH	BLUE HORIZON TRAVEL CLUB (CINCINNATI, OH)
BLI	THYSSEN KRUPP AG, DUESSELDORF
BLJ	BLUELINK JETS AB
BLK	USAC AIRWAYS 695 LLC
BLL	BALTIC AIRLINES
BLM	HELICOPTEROS PERSONALES, S.A.
BLN	BELTON PARK 59 (PTY) T/A BELTON AIR
BLO	VC BELOGORIE
BLQ	CFS AVIATION CC T/A CORPORATE FLIGHT SERVICES
BLR	METROPOLITAN AVIATION
BLS	BEARSKIN LAKE AIR SERVICE LIMITED
BLT	AIR ET COMPAGNIE
BLU	SOLUTIONS AIR CHARTER, LLC (ZIONSVILLE,IN)
BLV	BELL-VIEW AIRLINES LIMITED
BLW	WERMLANDSFLYG OPERATIONS AB
BLX	TUIFLY NORDIC AB
BLY	BLUE RIDGE AERO SERVICES
BLZ	AERO BARLOZ, S.A. DE C.V.
BMA	BERMUDAIR
BMD	BRITISH MEDICAL CHARTER
BME	BRIGGS MARINE ENVIRONMENTAL SERVICES LTD
BMG	IMAGE AIR CHARTER LTD
BMI	BMIBABY LTD
BMJ	BEMIDJI AIRLINES (BEMIDJI, MN)
BML	BISMILLAH AIRLINES LTD
BMM	ATLAS BLUE
BMN	BOWMAN AVIATION, INC. (FORT WAYNE, IN)
BMP	BUNDLED AERIAL MAPPING ASSTS, LLC (HUNTSVILLE, AL)
BMR	BRITISH MIDLAND REGIONAL LTD
BMS	BLUE AIR AVIATION S.A.
BMT	BAHAMAS HABITAT (CARY,NC)
BMW	BMW FLUGDIENST, MUENCHEN-FLUGHAFEN
BMX	BANCO DE MEXICO
BNA	BUN AIR CORPORATION (BEDFORD, PA)
BNB	BEYOND GENERAL AVIATION CO., LTD.
BNC	SUNDANCE AIR, INCORPORATED (DENVER, CO)
BND	BOND OFFSHORE HELICOPTERS LTD
BNE	BENINA AIR
BNF	BRISTOL FLIGHT TRAINING CENTRE LTD
BNG	BN GROUP LIMITED
BNH	GUANGZHOU BAONENG BUSINESS AVIATION CO., LTD.
BNI	BARTOLINI AIR REGIONAL
BNJ	ASL
BNL	BERNIQ AIRWAYS
BNM	MELITAIR
BNO	BABCOCK SCANDINAVIAN AIRAMBULANCE AS
BNR	ROYAL AIR LTD
BNS	VALLEY NATIONAL CORP. D/B/A BANCSTAR (PHOENIX, AZ)
BNT	BENTIU AIR TRANSPORT
BNV	BENANE AVIATION CORPORATION
BNW	BRITISH NORTH WEST AIRLINES LTD
BNX	I.A.A.C.A. (L.A.I.)
BNY	NORFOLK ISLAND AIRLINES
BNZ	BONZA AVIATION PTY LTD
BOA	BONIAIR
BOB	BACKBONE A/S
BOC	AEROBONA, S.A. DE C.V.
BOD	BOND AIR SERVICES LTD.
BOE	BOEING COMMERCIAL AIRPLANE GROUP (SEATTLE, WA)
BOF	BORNFLY APS
BOG	LIVE OAK BANKING COMPANY
BOH	AIR BOHEMIA A.S.
BOI	ABOITIZ AIR TRANSPORT CORPORATION
BOL	TRANSPORTES AEREOS BOLIVIANOS (TAB)
BOM	HAUTE AVIATION GMBH
BON	B&H AIRLINES
BOO	BOOKAJET LTD
BOR	BOLIDOR S.A.
BOS	OPENSKIES
BOT	AIR BOTSWANA (PTY.), LTD.
BOV	BOLIVIANA DE AVIACION
BOX	AEROLOGIC GMBH, LEIPZIG
BPA	BLUE PANORAMA AIRLINES SPA
BPC	BRASPRESS AIR CARGO TRANSPORTES AEREOS
BPH	PHOENIX HELICOPTER ACADEMY
BPK	BERKHUT ZK
BPO	BUNDEPOLIZEI-FLIEGERGRUPPE, ST. AUGUSTIN
BPS	BUDAPEST AIRCRAFT SERVICE LTD
BPT	BONUS AVIATION
BPX	PHOENIX EAST AVIATION, LLC.
BQA	AXIS AVIATION SWITZERLAND AG
BQB	AXIS AVIATION AUSTRIA GMBH
BRB	BRA-TRANSPORTES AEREOS LTDA.
BRC	BREEZE AVIATION
BRD	BRIDGES AIR CARGO
BRE	BREEZE LTD
BRF	AIR BRAVO
BRG	BERING AIR, INC. (NOME, AK)
BRH	STAR AIR CARGO (PTY) LTD
BRI	BARRICK
BRJ	BAIRLINE FLUGGESELLSCHAFT MBH & CO.KG
BRK	HEAVY AIRLIFT WING
BRL	TOPBRASS AVIATION
BRN	ECLIPSE AIRLINES, INC. D/B/A BRANSON AIRLINES, INC. (CHANTILLY, VA)
BRO	2 EXCEL AVIATION LTD
BRP	AIRPORT BRATSK, JSC
BRQ	EL-BURAQ AIR TRANSPORT INC.
BRR	MOUNTAIN AIR SERVICE, INC (BIG BEAR CITY, CA)
BRS	BRAZILIAN AIR FORCE
BRT	BRITISH INTERNATIONAL HELICOPTER SERVICES LIMITED
BRU	BELAVIA
BRV	BRAVO AIR CONGO
BRW	AV8 FLIGHT SCHOOL
BRX	BRAATHENS REGIONAL AIRWAYS AB
BRY	BURUNDAYAVIA JSC
BRZ	BRAVO AIR LTD
BSA	AIR BISSAU INTERNATIONAL LDA
BSB	AIR WINGS
BSC	AEROSTAN
BSD	BLUE STAR AIRLINES, S.A. DE C.V.
BSF	BLUE SKY AIRWAYS JOINT STOCK COMPANY
BSH	BEIJING CAPITAL AIRLINES HELICOPTER GENERAL AVIATION SERVICES CO., LTD
BSJ	SKYBUS JET LTD
BSK	MIAMI AIR INTERNATIONAL, INC. (MIAMI, FL)
BSL	AIR BRASIL LINHAS AEREAS LTDA
BSM	SOUTHEASTERN OKLAHOMA STATE UNIVERSITY
BSQ	BASRA AIRLINES
BST	LONE STAR AVIATORS
BSV	BLUE STAR AVIATION C.A
BSX	BASSAKA AIR LTD.
BSY	BIG SKY AIRLINES (BILLINGS, MT)
BTA	BELCANTO AIRLINES
BTC	B2C AIRWAYS
BTE	AIR BALTIC EASTERN
BTH	BALTIJAS HELICOPTERS
BTI	AIR BALTIC CORPORATION JSC
BTK	PT. BATIK AIR INDONESIA
BTL	BALTIA AIR LINES, INC. (JAMAICA, NY)
BTM	BLUE TEAM FLIGHT SCHOOL
BTN	BHUTAN AIRLINES
BTP	KINGCRETE ASSOCIATES
BTQ	BOUTIQUE AIR
BTR	BOTIR-AVIA
BTS	AEROLINEAS NACIONALES ALBATROS, S.A. DE C.V.
BTU	ROLLS ROYCE LTD. (BRISTOL ENGINE DIVISION)
BTV	METRO BATAVIA. PT.
BTX	VOLKSWAGEN AIRSERVICE GMBH
BTZ	BRISTOW LLC
BUC	EUROPEAN AIR CHARTER
BUE	OREBRO AVIATION AB
BUF	BUFF AIR SERVICES
BUG	INNOVATION FIRST
BUL	BLUE AIRLINES
BUN	BURYAT AIRLINES AIRCOMPANY
BUR	S.C. AIR BUCHAREST TRANSPORT AERIAN S.R.L.
BUT	BUTLERS AVIATION
BUY	FREEDOM II BERMUDA LIMITED
BUZ	BUZZ STANSTED LTD
BVA	BUFFALO AIRWAYS (WACO, TX)
BVC	BULGARIAN AERONAUTICAL CENTRE
BVG	BVG VIAJES, S.A. DE C.V.
BVI	BV AIRWAYS INC.
BVL	BUL AIR LTD.
BVN	BARON AVIATION SERVICES, INC. (VICHY, MO)
BVR	ACM AIR CHARTER GMBH, RHEINMUENSTER
BVT	BERJAYA AIR SDN BHD
BVV	SPARC AVIA ZAO
BWA	CARIBBEAN AIRLINES LIMITED
BWD	BLUEWEST HELICOPTERS-GREENLAND APS
BWG	BLUE WINGS AG, DUSSELDORF
BWI	BLUE WING AIRLINES N.V.
BWJ	HK BELLAWINGS JET LIMITED
BWK	ALTER AEROSERVICIOS S.A. DE C.V.
BWL	BWA (2002) LTD
BWM	BEIRUT WINGS S.A.L
BWN	BLUEWAY OFFSHORE NORGE AS
BWS	BASS AIRWAYS CC
BWY	FLEET REQUIREMENTS AIR DIRECTION UNIT
BXA	BAHRAIN EXECUTIVE AIR SERVICES CO. (BEXAIR)
BXH	BAR XH AIR INC.
BXJ	BRIXTEL GROUP, INC. (RESTON,VA)
BXR	REDDING AERO ENTERPRISES, INC. (REDDING, CA)
BXX	BADLANDS AVIATION
BYA	BERRY AVIATION, INC. (SAN MARCOS, TX)
BYB	SPOT JET SERVICES
BYC	CAMBODIA BAYON AIRLINES
BYD	BEOND-SIMDI OPERATIONS PRIVATE LTD.
BYF	SAN CARLOS FLIGHT CENTER
BYG	BYGONE AVIATION, LLC (GUYMON,OK)
BYK	SKYBUS
BYL	BYLINA, JOINT-STOCK COMPANY
BYT	PATRIOT AVIATION LIMITED
BZA	AEROLINEAS BONANZA, S.A. DE C.V.
BZD	CANADIAN GLOBAL AIR AMBULANCE LTD
BZE	ZENITH AVIATION LTD
BZH	BRITAIR S.A.
BZP	JUBILEE AVIATION SUPPORT SERVICES LTD
BZQ	SENECA COLLEGE
BZS	AERO BINIZA, S.A. DE C.V.
BZT	EXECUTIVE AIRCRAFT MANAGEMENT S.R.L.
BZY	FRESH AIR AVIATION (CHARLEVOIX, MI)
BZZ	BUTANE BUZZARD AVIATION CORPORATION
CAA	CIVIL AVIATION AUTHORITY OF THE CZECH REPUBLIC
CAB	CHESAPEAKE AIR SERVICE (PASADENA, MD)
CAC	CONQUEST AIRLINES (BEAUMONT, TX)
CAD	CARDIG AIR, PT.
CAE	CENTRAFRIQUE AIR EXPRESS
CAH	E+S AIR
CAI	TURISTIK HAVA TASIMACILIK A.S.
CAJ	AIR CARAIBES ATLANTIQUE
CAK	SOUTHWEST AIRCRAFT CHARTER
CAL	CHINA AIRLINES
CAM	VILLAGE AVIATION, INC. D/B/A CAMAI-AIR (BETHEL, AK)
CAN	CONTACT AIR SARL
CAO	AIR CHINA CARGO CO., LTD
CAP	UNITED STATES AIR FORCE AUXILIARY /  CIVIL AIR PATROL (RICHMOND, VA)
CAQ	CERIUM AIR
CAR	INTER RCA
CAS	CHRISTMAN AIR SYSTEM (WASHINGTON, PA)
CAT	COPENHAGEN AIRTAXI A/S
CAU	CANARIAS AERONAUTICA, S.L.
CAV	CALM AIR
CAW	COMAIR LTD
CAX	CONSORCIO AEREO DE XALAPA
CAY	CAYMAN AIRWAYS LTD.
CAZ	CAT AVIATION AG
CBA	AIR NAVIGATION SERVICES OF THE CZECH REPUBLIC
CBB	CARGO B AIRLINES N.V./S.A.
CBC	LONGHORN AVIATION, LLC
CBD	LOCKHEED MARTIN AERONAUTICS (FORT WORTH, TX)
CBE	AEROVIAS CARIBE, S.A.
CBF	CASCADIA AIRWAYS INC
CBG	GUANGXI BEIBU GULF AIRLINES CO. LTD.
CBH	CORPORATE EAGLE MANAGEMENT SERVICES, INC. (WATERFORD, MI)
CBI	CABI
CBJ	BEIJING CAPITAL AIRLINES CO., LTD
CBK	CENTRAL ASIAN SERVICES
CBL	COLOMBE AIRLINE S.A.
CBM	DRAGONFLY AVIATION SERVICES LIMITED
CBN	SOUTHERN ILLINOIS UNIVERSITY D/B/A FLIGHT SCHOOL (MURPHYSBORO, IL)
CBO	AEROTAXI DEL CABO, S.A. DE C.V.
CBR	COBRA AVIATION
CBS	AIR COLUMBUS
CBT	CATALINA FLYING BOATS, INC. (LONG BEACH, CA)
CBU	SCANBLU AIRLINES AB
CBV	AEREO CABO, S.A. DE C.V.
CBW	SUZHOU AVIATION CO., LIMITED
CBX	COBREX TRANS
CBY	CONINGSBY FTU
CBZ	NONSTOP AVIATION (BOCA RATON, FL)
CCA	AIR CHINA
CCB	CARICOM AIRWAYS (BARBADOS) INC.
CCC	AIR CARGO GLOBAL, S.R.O.
CCD	DALIAN AIRLINES LTD
CCF	CCF MANAGER AIRLINE GMBH, KOELN
CCG	CZECH CONNECT AIRLINES
CCH	CHILCHOTA TAXI AEREO, S.A. DE C.V.
CCI	BAA AVIATION LIMITED
CCJ	CAPITAL JET CHARTER CORP.
CCK	CARLISLE AIR CORPORATION
CCL	CAMBODIA AIRLINES
CCM	AIR CORSICA
CCO	CHINA AIR CARGO CO., LTD
CCP	GRAND HOLDINGS, INC. CHAMPION AIR (MANHATTAN BEACH, CA)
CCQ	CAPITAL CITY AIR CARRIERS, INC. (PIERRE, SD)
CCR	CONCIAIR LTD
CCS	COMAC SHANGHAI AIRCRAFT CUSTOMER SERVICE CO., LTD.
CCT	CONNECT AIR LTD.
CCU	ACACUS AIR
CCV	CENTRO DE HELICOPTEROS CORPORATIVOS, S.A. DE C.V.
CCW	COPTRADE AIR TRANSPORT
CCY	CHERRY AIR, INC. (DALLAS, TX)
CDA	AEROCARDAL
CDC	ZHEJIANG LOONG AIRLINES CO., LTD
CDE	COMED GROUP
CDF	AEROSERVICIOS AOV, S.A. DE C.V.
CDG	SHANDONG AIRLINES
CDI	CARDS AIR SERVICES, INC.
CDL	SUNBIRD AIRLINES, INC. (CHARLOTTE, NC)
CDN	CANADIAN HELICOPTERS LIMITED DBA HNZ GLOBAL
CDO	TCHADIA AIRLINES
CDP	AEROCONDOR S.A.
CDQ	CHODANG UNIVERSITY
CDR	BOMBARDIER MONTREAL
CDS	SPECTREM AIR LTD
CDT	REAL AERO CLUB DE REUS-COSTA DORADA
CDV	AIRLINE SKOL
CDX	CEDAR EXECUTIVE
CDY	HELIAVIATION LIMITED
CEA	CORPORATE EXPRESS AIRLINES (NASHVILLE, TN)
CEB	CEBU PACIFIC AIR
CEC	CHINA EASTERN BUSINESS JET CO.,LTD.
CEE	SERVICIOS AEREOS CENTRALES, S.A. DE C.V.
CEF	CZECH AIR FORCE
CEG	CEGA AVIATION LIMITED
CEL	CEIBA INTERCONTINENTAL
CEN	CENTRAL AIR TRANSPORT SERVICES
CEO	JET EKSEKUTIF TRAVYA
CEP	CHIPOLA AVIATION, INC. (MARIANNA, FL)
CER	COSMOPOLITAN AIR OPERATIONS, S.A.P.I. DE C.V.
CES	CHINA EASTERN AIRLINES
CET	CENTRAFRICAN AIRLINES
CEU	ASAS LINHAS AEREAS
CEV	CENTRE D'ESSAIS EN VOL
CEW	CENTRAL AIRWAYS
CEY	AIR CENTURY, S.A
CEZ	CESSZANI AVIATION
CFA	CHINA FLYING DRAGON AVIATION CO.
CFB	CHONGQING FOREBASE GENERAL AVIATION CO., LTD
CFC	CANADIAN ARMED FORCES
CFD	CRANFIELD UNIVERSITY
CFE	BA CITYFLYER LTD
CFF	AEROFAN
CFG	CONDOR FLUGDIENST GMBH, FRANKFURT (MAIN)
CFH	CARE FLIGHT (NSW) LIMITED
CFI	FLIGHT INSPECTION CENTER OF THE GENERAL ADMINISTRATION OF CIVIL AVIATION OF CHINA
CFL	BROMMA AIR MAINTENANCE AB
CFM	ACEF - TRANSPORTES AEREOS E CARGAS, LDA.
CFN	CHURCH FENTON FTU
CFR	CALIFORNIA DEPARTMENT OF FORESTRY AND FIRE PROTECTION (MCCLELLAN, CA)
CFS	EMPIRE AIRLINES (HAYDEN LAKE, UT)
CFT	JET FREIGHTERS, INC. (PORTLAND, ME)
CFU	CAA FLYING UNIT
CFV	AERO CALAFIA, S.A. DE C.V.
CFX	CFA AIR CHARTERS (PTY) LTD
CFZ	CHINA FLIGHT GENERAL AVIATION COMPANY
CGA	CONGRESSIONAL AIR, LTD (GAITHERSBURG, MD)
CGB	COMERCIALIZACION INDUSTRIAL GLOBAL, S.A. DE C.V.
CGC	CAL GULF AVIATION
CGE	NELSON AVIATION COLLEGE LTD
CGF	CARGO AIR LTD
CGG	WALMART AVIATION (ROGERS, AR)
CGH	AIR GUILIN CO., LTD.
CGI	BRISTOW IRELAND LIMITED
CGK	CLICK AIRWAYS
CGL	CRAFT AVIA CENTER SAPI DE CV
CGN	AIR CHANGAN CO., LTD
CGO	CHICAGO AIR, INC. (CHICAGO, IL)
CGP	CAPITAL AIRCRAFT GROUP
CGR	COMPAGNIA GENERALE RIPRESEAEREE S.P.A.
CGS	SOLITAIR AVIATION SERVICES
CGU	CHINGUETTI AIRLINES
CGV	AERO CLUBE DO ALGARVE
CGX	UNITED STATES COAST GUARD AUXILIARY (WASHINGTON, DC)
CGZ	COLORFUL GUIZHOU AIRLINES CO. LTD.
CHA	CENTRAL FLYING SERVICE, INC. (LITTLE ROCK, AR)
CHB	CHINA WEST AIR CO., LTD
CHC	CHINA OCEAN HELICOPTER CORP. - COHC
CHD	223 FLIGHT UNIT, STATE AIRLINE
CHE	TOP FLIGHT AIR SERVICE, INC. (TAMPA, FL)
CHF	TIANJIN JEPPESEN INTERNATIONAL FLIGHT COLLEGE CO.,LTD
CHG	CHALLENGE AIRLINES (BE) S.A.
CHH	HAINAN AIRLINES HOLDING CO., LTD
CHI	COUGAR HELICOPTES,INC.
CHJ	STAR JET CO., LTD
CHK	FLYING BOAT, INC. D/B/A CHALKS INTERNATIONAL AIRLINES (FT. LAUDERDALE, FL)
CHL	CRANFIELD HELICOPTERS LTD
CHN	CHANNEL ISLAND AVIATION (OXNARD, CA)
CHO	CHROME AIR SERVICES LTD
CHP	CONSORCIO AVIAXSA, S.A. DE C.V.
CHQ	CHAUTAUQUA AIRLINES (JAMESTOWN, NY)
CHR	CHAIRMAN AIRMOTIVE ll, LLC
CHU	CHURCH AIRCRAFT LTD (DENVER, CO)
CHV	AIR CHARTER PROFESSIONALS, INC. (OPA LOCKA, FL)
CHX	HUBSCHRAUBER IM LUFTRETTUNGSDIENST, BERLIN
CHZ	CHALLENGE AIR CARGO LIMITED
CIA	TRANSPORT AUTHORITY
CIB	CONDOR BERLIN MBH, BERLIN
CIC	SACAICA, C.A.
CID	ASIA CONTINENTAL AIRLINES
CIE	CZECH GOVERNMENT FLYING SERVICE
CIG	SIRIUS-AERO
CIJ	C&I CORPORATION
CIK	COMOROS INTERNATIONAL AIRLINE
CIL	CIAF LEASING
CIM	CIMBER A/S
CIN	SAFFRON AVIATION (PVT) LTD
CIO	IL CIOCCO INTERNATIONAL TRAVEL SERVICE SRL
CIR	ARCTIC CIRCLE AIR SERVICE, INC. (FAIRBANKS, AK)
CIS	CAT ISLAND AIR
CIT	ZANESVILLE AVIATION (ZANESVILLE, OH)
CIU	CIELOS DEL PERU S.A.
CIV	CIVIL AVIATION AUTHORITY OF NEW ZEALAND
CIX	CITY CONNEXION AIRLINES
CJA	CANJET AIRLINES
CJC	COLGAN AIR (MANASSAS, VA)
CJE	CUSTOM JET CHARTERS, LLC (WEST PALM BEACH, FL)
CJI	CORPORATE JETS, INC. (WEST MIFFLIN, PA)
CJL	CANADA JETLINES OPERATIONS LTD.
CJM	CORPORATE JET MANAGEMENT LTD
CJN	CJEXEC AVIATION
CJR	CAVERTON HELICOPTERS LTD
CJS	COMMONWEALTH JET SERVICE, INC. (SANDSTON, VA)
CJT	CARGOJET AIRWAYS LTD
CJX	JIANGXI AIR COMPANY LIMITED
CJZ	CALIBER JET CHARTER, LLC (WESTLAKE, OH)
CKA	COOK INLET AVIATION, INC. (HOMER, AK)
CKE	CORPORATE AVIATION SERVICES, INC. (TULSA, OK)
CKJ	PEOPLE'S LIBERATION ARMY AIR FORCE
CKK	CHINA CARGO AIRLINES LTD
CKL	CRONOS AIRLINES BENIN
CKM	RIVAFLECHA, S.L. (BKS AIR)
CKR	CROWN AIR SYSTEMS
CKS	KALITTA AIR, LLC (YPSILANTI, MI)
CLA	LINEAS AEREAS CCS AIR
CLB	COBHAM FLIGHT INSPECTION LTD
CLC	SCAMBESCO CC TRADING AS CLOUD 9 AIR CHARTERS
CLD	CLOWES ESTATES LTD
CLE	COLEMILL ENTERPRISES (NASHVILLE, TN)
CLF	CENTRELINE AV
CLG	CHALAIR AVIATION
CLH	LUFTHANSA CITYLINE GMBH, KOELN
CLI	CLICKAIR, S.A.
CLJ	CELLO AVIATION LTD
CLK	CLARK AVIATION CORP. (NEW CUMBERLAND, PA)
CLL	AEROVIAS CASTILLO, S.A.
CLM	CARGO LINK (CARIBBEAN) INC.
CLN	CLEOPATRA AVIATION
CLO	CHALLENGE AERO UKRAINE LLC
CLP	AERO CLUB DE PORTUGAL
CLR	TRANS AMERICA (ENGLEWOOD, CO)
CLS	CLEMENS AVIATION
CLU	CARGOLOGICAIR LTD
CLV	LOM PRAHA FLYING SCHOOL
CLW	NOWY PRZEWOZNIK SP. Z.O.O.
CLX	CARGOLUX AIRLINES INTERNATIONAL S.A.
CLY	CLAY LACY AVIATION (SEATTLE, WA)
CLZ	CLOUD 9 AIR CHARTERS
CMA	CMA CGM AIR CARGO
CMB	US TRANSPORTATION COMMAND
CMC	CMC ELECTRONICS INC.
CMD	CALSTAR
CME	COMMERCE BANK
CMF	AIR CARE ALLIANCE (STORRS, CT)
CMG	COMET AIRLINES LIMITED
CMH	COMMAIR AVIATION LIMITED
CMI	CONTINENTAL MICRONESIA, INC. (TAMUNING, GUAM)
CMJ	COMFORT JET SERVICES
CMK	COSMOS AVIATION (PVT) LTD
CML	COMMUNITY AIRLINES
CMM	CAMEX ADRIA AIRLINES
CMN	ECKLES AIRCRAFT CO. (HOLDENVILLE, OK)
CMO	KGFM TRANSPORT AND LOGISTICS (PTY) LTD
CMP	COMPANIA PANAMENA DE AVIACION, S.A.
CMR	CAM AIR MANAGEMENT LTD
CMS	CAMEX AIRLINES LLC
CMT	CASEMENT AVIATION (PLAINESVILLE, OH)
CMV	CALIMA DE AVIACION S.L.
CMX	EL CAMINANTE TAXI AEREO, S.A. DE C.V.
CMZ	CM STAIR, COMPAGNIE MAURITANIENNE DES SERVICES ET TRANSPORT AERIEN
CNA	CANAVIA LINEAS AEREAS S.L.
CNB	CITYLINE HUNGARY LTD
CNC	CORPORACION AEREO CENCOR, S.A. DE C.V.
CND	CORENDON DUTCH AIRLINES B.V.
CNF	CANARY FLY S.L.
CNG	COASTAL AIRWAYS (GULFPORT, MS)
CNI	EMPRESA NACIONAL DE SERVICIOS AEREOS
CNK	SUNWEST AVIATION LTD
CNL	CENTENNIAL AIRLINES, INC. (LARAMIE, WY)
CNM	AIR CHINA INNER MONGOLIA
CNO	SAS SCANDINAVIAN AIRLINES NORGE AS
CNP	PRIVATE AIR INC
CNR	CONDOR AERO SERVICES, INC. (CULLMAN, AL)
CNS	COBALT AIR, LLC (PORTSMOUTH NH)
CNT	CONNECT LINHAS AEREAS S.A.
CNU	AIR CONSUL
CNV	US NAVY AIR LOGISTICS OFFICE (NEW ORLEANS, LA)
CNW	NORTH-WESTERN CARGO INTERNATIONAL AIRLINES CO.,LTD
CNY	CENTRAL AIRWAYS LIMITED
COA	CONTINENTAL AIRLINES
COB	COBRA JET AVIATION
COD	CONCORDAVIA LTD
COE	COMTEL - AIR LUFTVERKEHRS GMBH
COG	CONGO AIRWAYS. SA
COI	COINSPECTRA AVIACION, C.A.
COJ	CORAL JET
COL	SC AVIATION INC.
COM	COMAIR, INC. (CINCINNATI, OH)
CON	CONOCOPHILLIPS CO.
COO	COVE PARTNERS,LLC.
